190,Adrian Lambert,tourist camp attendant,2012-01-31,1984-06-03,(443)-317-4011,SP4533
191,Dylan Oliver,trailer campsite attendant,2016-10-11,1993-03-19,(220)-420-9327,UK2622
192,Jan Alsop,attendance checker,2012-02-25,1989-09-29,(370)-278-4396,SP4533
194,Sally Welch,snowmaking facility attendant,2013-05-27,1987-01-01,(344)-396-2551,FR1001
197,Caroline Oliver,icer rink,2017-09-22,1998-08-02,(604)-374-4185,FR1001
199,Liam Nolan,attendant tourist camp,2014-03-21,1982-05-20,(333)-216-7799,SV2333
200,Joan Roberts,shooting gallery operator,2014-08-07,1987-09-11,(144)-659-9770,ZA1342
201,Tracey Ross,T-bar operator,2013-03-26,1989-11-13,(375)-535-8009,SV2333
202,Heather Taylor,starter golf course,2015-02-17,1992-03-28,(144)-179-1175,FR1001
203,Lucas Walker,starter golf course,2014-08-21,1998-12-14,(222)-702-4887,NL1202
205,Claire Parr,attendant bicycle rental,2014-01-03,1984-01-29,(251)-252-8916,NL1202
206,Sally Paterson,attendant waterslide,2014-10-20,1979-05-06,(166)-545-1964,NL1202
208,Neil Stewart,operator J-bar,2010-12-13,1992-11-12,(520)-542-9366,ZA1342
209,Dan Morgan,gate attendant campground,2011-10-21,1979-02-12,(114)-201-2891,SV2333
211,Zoe Hodges,operator amusement attraction,2015-05-29,1987-03-04,(160)-129-8240,SV2333
214,Gordon Allan,floorwoman bingo,2013-04-24,1982-10-19,(713)-739-5589,UK3452
216,Sarah Morgan,leisure and sports attendant,2017-01-26,1988-11-22,(135)-693-9305,NL1202
219,Christopher Underwood,campground gate attendant,2016-09-28,1994-02-15,(622)-164-6351,UK3452
220,Jake Berry,go-kart ride attendant,2014-08-13,1989-07-17,(503)-671-1776,SP4533
221,Molly Lewis,rink icer,2010-07-01,1992-07-07,(266)-572-8100,SP4533
222,Hannah Grant,amusement ride operator,2011-02-26,1979-12-20,(432)-263-4920,SV2333
223,Anne Hart,attendant ice rink,2017-10-28,1967-10-12,(516)-228-3507,ZA1342
224,Keith McDonald,snowmaking facility attendant,2011-04-23,1975-02-02,(760)-643-5884,NL1202
225,Faith Simpson,attendant recreation,2012-08-20,1986-06-05,(641)-724-8345,UK3452
226,Steven Fisher,attendant J-bar,2011-08-02,1999-04-07,(172)-734-9169,FR1001
228,Lucas Simpson,J-bar operator,2013-10-14,1994-09-13,(401)-365-3474,FR1001
229,Julian Cameron,attendant snowmaking facility,2010-07-29,1987-10-29,(241)-171-5859,FR1001
231,Maria Bailey,amusement attraction operator,2016-07-13,1987-01-31,(515)-462-7495,ZA1342
233,Austin Rees,attendant trailer campsite,2015-02-16,1980-01-12,(376)-594-3942,UK2622
236,Robert Newman,attendant driving range,2011-11-23,1982-07-05,(644)-482-2303,ZA1342
237,Matt Nolan,attendant rope tow,2017-11-06,1971-12-26,(566)-181-6162,SV2333
238,Isaac Vance,bingo floor attendant,2014-06-11,1993-08-28,(552)-550-3650,SV2333
239,Dan Terry,billiards ballracker,2016-03-03,1968-01-06,(654)-565-2093,SP4533
240,Diana Morrison,attendant recreational facility,2012-03-03,1972-05-25,(351)-555-5017,ZA1342
241,Anthony Skinner,attendant recreational camp,2015-02-21,1981-12-20,(557)-382-4724,SV2333
242,Karen Oliver,amusement concession operator,2013-09-08,1971-01-26,(653)-222-2439,NL1202
243,Joseph Parr,attendant waterslide,2011-11-27,1965-05-18,(426)-689-4929,ZA1342
244,Blake Carr,boat rental attendant,2014-10-31,1993-11-05,(212)-353-1670,NL1202
245,Wendy Baker,custodian sports equipment,2010-06-06,1986-05-06,(304)-406-2404,SV2333
246,Amy Parsons,attendant golf range,2017-02-25,1974-08-15,(110)-326-3593,UK3452
248,Robert Bond,T-bar attendant,2015-04-10,1990-12-29,(336)-618-4558,SP4533
249,Alexandra Slater,park attendant,2016-06-22,1998-07-28,(260)-246-1291,ZA1342
250,Sue Powell,pony ride operator,2010-05-24,1970-08-22,(466)-731-3088,UK3452
253,Warren Gray,operator shooting gallery,2015-07-04,1976-10-26,(613)-644-8267,FR1001
257,Oliver Coleman,operator J-bar,2010-06-02,1972-01-06,(233)-582-2235,SV2333
258,Connor Hunter,attendant tourist camp,2010-07-26,1983-02-21,(205)-618-4996,UK2622
259,Karen Taylor,go-kart track attendant,2015-07-03,1975-03-15,(717)-396-1365,UK2622
260,Sue Wilson,floorman bingo,2013-05-27,1991-06-07,(727)-362-3725,UK3452
262,Sally Abraham,pony ride operator,2017-10-09,1989-10-03,(215)-706-7273,UK2622
263,Amy Lambert,attendant driving range,2017-06-05,1993-02-09,(435)-360-7883,UK3452
264,Alexander Sharp,operator gondola,2012-01-23,1966-10-06,(151)-602-7612,SV2333
272,Sebastian Grant,attendant ice rink,2010-05-28,1990-07-07,(346)-697-7544,UK2622
273,Charles Wright,operator amusement concession,2013-08-13,1995-05-11,(523)-328-3076,FR1001
274,Sebastian Mitchell,operator game booth,2011-11-10,1997-11-13,(157)-324-1498,SP4533
275,Nathan Hunter,bingo floor attendant,2015-02-25,1983-05-01,(352)-257-7749,ZA1342
276,Grace Walker,operator game booth,2016-04-15,1998-03-09,(570)-199-9789,NL1202
277,Joan MacDonald,attendant bowling alley,2016-03-12,2000-04-14,(756)-670-5132,NL1202
278,Irene Dickens,bowling pinsetter,2016-04-20,1972-04-22,(430)-216-7498,UK3452
279,Ruth Walsh,operator J-bar,2014-09-27,1994-10-24,(627)-130-5283,UK3452
280,Deirdre Stewart,checker attendance,2010-12-10,1968-12-11,(421)-278-4347,SV2333
282,Joshua Grant,gate attendant campground,2017-06-18,2000-09-19,(411)-315-2671,NL1202
283,Zoe Pullman,operator amusement concession,2013-08-03,1999-06-02,(407)-582-1558,SV2333
284,Karen Bond,golf range attendant,2017-06-25,1978-08-20,(757)-402-5441,FR1001
287,Neil Ball,attendant billiard parlour,2015-07-20,1967-12-06,(567)-411-4177,UK2622
293,Olivia Miller,amusement ride attendant,2014-07-25,1974-08-13,(766)-110-5299,SP4533
295,Madeleine Johnston,icer rink,2012-06-26,1976-03-31,(127)-438-2119,SP4533
298,Kylie Cornish,rink attendant,2010-01-11,1978-04-20,(343)-160-7499,FR1001
299,Stephen Jones,T-bar operator,2013-01-25,1970-07-11,(163)-501-7068,ZA1342
308,Stewart Ross,driving range attendant,2013-03-01,1972-11-01,(710)-507-1930,SP4533
310,Mary Marshall,ski tow operator,2017-02-03,1994-11-20,(345)-709-8959,SP4533
311,Nicholas Hart,operator cable car,2014-05-22,1973-03-28,(763)-741-2678,FR1001
312,Robert Kerr,ride attendant go-kart,2015-08-16,2000-06-15,(160)-405-3300,NL1202
314,Ian Butler,T-bar operator,2015-07-28,1969-05-24,(124)-324-3488,NL1202
315,Kevin Anderson,campground gate attendant,2012-11-21,1972-10-03,(646)-224-1060,ZA1342
316,Penelope Henderson,attendant go-kart track,2013-04-27,1972-02-15,(642)-732-7392,SP4533
317,Piers Dyer,attendant amusement park,2013-08-31,1989-12-22,(245)-197-5392,UK2622
318,Phil Hart,operator amusement concession,2012-12-28,1987-04-05,(534)-503-1697,UK2622
319,Wanda Blake,attendant pool parlour,2016-01-27,1969-09-30,(617)-371-5677,UK2622
320,Wendy Miller,caller bingo,2015-09-19,1978-08-18,(216)-487-6148,SP4533
322,Brandon Vaughan,bicycle rental attendant,2012-08-09,1974-12-27,(762)-366-3554,FR1001
323,Colin Young,attendant billiard parlour,2010-10-18,1981-02-26,(445)-226-2659,SP4533
324,Keith Baker,operator fun house,2013-11-15,1988-02-20,(637)-422-2306,UK3452
326,Jane Davidson,bingo hall attendant,2010-06-11,1966-09-06,(742)-287-7712,SP4533
327,Jennifer Bailey,waterslide attendant,2017-07-23,1986-01-31,(335)-514-6806,UK3452
329,Max Hill,ride operator amusement,2017-06-11,1971-08-03,(663)-564-1952,SV2333
330,Emily Young,attendant go-kart track,2014-06-18,1973-03-31,(636)-735-3527,ZA1342
332,Sally Hodges,amusement concession operator,2016-02-06,1977-03-23,(222)-685-6925,UK2622
334,Karen Parsons,snowmaker,2010-06-05,1996-03-25,(233)-239-8344,SP4533
337,Anne May,floorman/woman bingo,2015-01-25,1974-10-28,(126)-616-6713,SV2333
338,Jacob Duncan,attendant sports and recreation,2016-06-21,1981-10-27,(422)-510-2133,FR1001
341,Megan Mackenzie,attendant campground,2013-11-28,1969-02-27,(500)-579-9232,NL1202
342,James Bailey,attendant billiard parlour,2011-11-06,1988-09-02,(516)-343-4260,UK3452
343,Jake Miller,custodian sports equipment,2016-11-18,1989-06-23,(752)-284-6408,UK3452
344,Rebecca Wilkins,golf course starter,2010-04-16,1966-05-08,(777)-730-4949,SV2333
345,Wendy Miller,pinsetter bowling,2017-05-18,1968-05-06,(606)-458-5509,SP4533
346,Deirdre Thomson,sports centre attendant,2012-07-01,1983-11-17,(706)-582-9973,UK3452
347,Alan Lambert,rink icer,2010-04-25,1974-02-04,(534)-454-2780,SP4533
350,Virginia Rutherford,attendant driving range,2016-04-10,1985-07-12,(767)-179-7476,NL1202
351,Donna Hudson,bingo floorwoman,2014-12-08,1998-02-25,(716)-586-2109,UK3452
352,Harry Butler,floorwoman bingo,2010-07-03,2000-06-21,(177)-475-5624,UK2622
353,Lily Peters,attendant go-kart ride,2011-04-14,1997-06-20,(744)-602-5753,ZA1342
354,Stephanie Jones,athletic equipment custodian,2013-05-19,2000-11-12,(703)-628-7564,UK2622
355,William Fraser,ferris wheel operator,2015-07-07,1969-09-13,(320)-569-1871,NL1202
356,Sonia Wallace,operator amusement concession,2015-06-19,1967-07-11,(310)-206-6677,FR1001
357,Piers Robertson,attendant trailer campsite,2012-09-18,1999-06-23,(167)-477-6621,FR1001
358,Kylie Greene,attendant golf range,2016-01-27,1971-01-08,(703)-201-6316,UK2622
359,Kimberly Miller,bingo floorman,2013-01-15,1976-01-23,(135)-110-7574,UK2622
360,Jasmine Davidson,attendant leisure facility,2012-12-19,1986-07-25,(525)-695-9449,FR1001
361,Sean Quinn,operator pony ride,2016-08-02,1966-10-26,(470)-638-5231,SP4533
362,Connor Paterson,amusement concession operator,2010-05-06,1974-05-16,(426)-416-5792,NL1202
365,David Knox,campground attendant,2010-02-07,1971-11-26,(245)-173-5735,NL1202
366,John Peters,attendant recreation park,2017-09-03,1993-01-26,(306)-450-8059,NL1202
369,Jane Pullman,cable car operator,2016-09-13,1967-06-01,(460)-181-9965,UK2622
371,Lisa Mackay,operator ski tow,2015-02-04,1983-11-22,(166)-123-1656,ZA1342
374,Anna Alsop,operator carousel,2017-02-10,1976-11-15,(523)-593-5478,ZA1342
375,Chloe Ogden,amusement concession operator,2015-03-22,2000-11-28,(444)-342-4872,SP4533
376,Joseph Anderson,attendant rope tow,2013-04-24,1972-11-15,(640)-277-7511,UK2622
378,Angela Wright,attendant recreational camp,2017-10-27,1996-09-25,(376)-452-9130,FR1001
379,Isaac Underwood,attendant tennis court,2014-08-26,1979-04-05,(553)-430-9042,UK2622
380,Boris North,custodian sports equipment,2012-03-04,1970-05-16,(520)-225-8506,UK2622
382,Eric Poole,caddie,2017-02-25,1999-08-03,(315)-257-1868,SP4533
384,Frank Buckland,attendant go-kart track,2013-04-15,1985-01-03,(240)-260-1289,NL1202
386,Una Oliver,attendant clubhouse,2011-08-31,1967-03-28,(110)-648-1384,ZA1342
387,Heather Russell,operator cable car,2011-08-06,1983-02-08,(115)-107-7643,UK2622
391,Julian Skinner,recreation and sports attendant,2016-06-26,1998-04-24,(657)-211-9022,ZA1342
393,Claire Bower,operator ski tow,2016-04-07,1967-08-25,(146)-104-1783,UK2622
394,Kimberly Ross,snowmaker,2011-07-12,1977-08-24,(570)-171-1641,SP4533
395,Gordon Bond,leisure and sports attendant,2013-05-29,1996-02-08,(224)-374-3964,SP4533
396,Caroline McLean,attendance checker,2015-03-25,1982-02-06,(771)-362-9723,FR1001
398,Christopher Glover,ice maker rink,2015-02-27,1972-01-11,(467)-501-2153,NL1202
399,Wanda Rampling,ski lift attendant,2013-12-03,1993-07-20,(251)-545-3079,SV2333
403,Anne Rutherford,ranger golf course,2011-03-31,1971-04-22,(273)-631-7179,FR1001
405,Sam Roberts,ride operator amusement,2017-09-10,1984-12-14,(515)-679-3054,UK2622
406,Eric Morrison,attendant tennis court,2010-10-01,1983-12-10,(470)-616-1765,FR1001
407,Owen Ellison,pony ride operator,2016-09-23,1965-03-27,(132)-437-1213,SV2333
412,Jessica Duncan,receptionist park,2015-04-01,1985-03-21,(237)-123-8126,UK3452
413,Kevin Russell,snowmaking facility attendant,2014-04-13,1996-11-26,(431)-495-5478,ZA1342
415,Charles Slater,attendant driving range,2014-09-10,1969-05-02,(721)-205-6622,UK3452
416,Madeleine Tucker,sports equipment custodian,2014-10-07,1967-04-23,(547)-558-5147,UK2622
417,Angela Hamilton,carousel operator,2011-09-23,1993-05-16,(342)-732-5498,ZA1342
418,Diana King,campground gate attendant,2017-01-04,1990-09-15,(336)-719-6708,UK2622
419,Sonia Rutherford,attendant trailer campsite,2011-01-11,1980-06-07,(623)-458-9717,UK2622
422,Dorothy Alsop,merry-go-round operator,2016-04-08,1998-06-13,(630)-266-8607,SP4533
424,Bella Henderson,jockey helper,2012-05-13,1984-11-25,(166)-407-5001,SP4533
425,Trevor Hamilton,attendant T-bar,2017-06-22,1996-08-05,(145)-707-4883,FR1001
426,Elizabeth Kelly,amusement ride operator,2017-10-11,1999-09-22,(552)-462-4417,ZA1342
428,Zoe Duncan,operator snowmaking equipment,2015-01-02,1980-07-27,(745)-494-9185,ZA1342
430,Una Wright,jockey valet,2013-07-17,1983-04-12,(730)-625-2356,SV2333
431,Boris Ross,attendant go-kart track,2010-02-02,1995-05-05,(241)-578-9006,ZA1342
432,Karen Robertson,ballracker billiards,2016-05-08,1974-08-26,(606)-243-2383,SV2333
435,Blake Nash,fun house operator,2015-08-01,2000-03-14,(165)-659-9376,SP4533
436,Trevor Ince,attendance checker,2016-05-11,1993-01-11,(474)-534-2196,UK2622
437,Sue Lyman,attendant driving range,2013-12-13,1981-07-01,(725)-270-3409,NL1202
439,Thomas Blake,billiards ballracker,2011-01-14,1979-10-11,(214)-208-1754,NL1202
440,Victor Davidson,attendant tourist camp,2017-12-13,1979-06-02,(466)-602-1893,NL1202
441,Sarah Jones,receptionist park,2014-07-31,1974-02-19,(320)-327-7163,UK3452
443,Leah Abraham,attendant mini-golf,2011-09-04,1979-07-20,(403)-246-9754,UK2622
444,Connor Peake,go-kart ride attendant,2017-06-10,1974-08-16,(173)-427-4685,SP4533
445,Anne White,amusement park attendant,2016-08-21,2000-06-10,(123)-703-1307,UK3452
449,Alexandra Hemmings,go-kart ride attendant,2012-11-25,1972-10-12,(266)-534-6476,FR1001
450,Chloe Jones,ride operator amusement,2017-02-23,1986-01-13,(226)-678-9872,SV2333
452,Anthony Greene,sports and leisure attendant,2012-01-17,1976-06-26,(751)-677-6694,NL1202
455,Lisa Underwood,operator ski tow,2016-12-12,1975-06-28,(305)-650-2956,ZA1342
457,Carol Wilkins,worker campground,2016-12-18,1979-02-08,(211)-355-5866,SP4533
458,Simon Paige,attendant leisure,2010-08-13,1971-02-26,(364)-109-5520,NL1202
460,Jack Kelly,billiards ballracker,2017-05-23,1984-09-16,(431)-243-4132,SV2333
461,Adam Baker,leisure attendant,2016-01-23,1971-05-10,(744)-459-4052,FR1001
463,Rose Black,snowmaking equipment operator,2010-06-27,1994-09-30,(146)-309-9507,SP4533
464,Diana King,boxing second,2010-08-04,1990-03-29,(754)-566-4232,FR1001
466,William Newman,sports attendant,2010-03-15,1997-07-21,(630)-183-4640,SP4533
467,Benjamin Ince,bingo floorwoman,2017-08-28,1974-06-19,(262)-437-2609,SV2333
472,Colin Lawrence,recreation park attendant,2011-02-26,1979-07-21,(352)-563-6523,ZA1342
476,Jan Taylor,J-bar operator,2014-06-17,1989-08-23,(337)-149-6596,SP4533
477,Isaac Cameron,gate attendant campground,2011-01-13,1997-01-17,(320)-570-4327,ZA1342
478,Brandon Poole,zamboni driver,2011-06-30,1972-10-15,(126)-187-7930,SP4533
482,Gordon Wilson,attendant boat rental,2014-10-19,1967-03-26,(750)-156-8243,SV2333
